Address,C.O,MahMorajeh,Fasl,Jens,Sen,Savad,Tahsil.Mikonad,Madrak,Faaliat,Zanashoi,tedad.a,n.t.m,t.o,s.z,n.e,m.o.b,oto,mo,do,radio,zabt,tv.s,tv.r,video,pc,mobile,freeizer,yakhchal,yakhchal.f,gaz,jaro.b,m.lebas,charkh.kh,panke,cooler.a,cooler.g,m.zarf,microfer,ab.l,bargh,gaz.l,tel,internet,hamam,ashpazkhane,cooler.a.s,broodat.m,hararat.m,package,cooler.g.s,fazelab,sookht.p,sookht.g,sookht.ab,Hazine_Behdashti,Hazine_Ertebatat,Hazine_Ghazayeamade,Hazine_Hamlonaghl,Hazine_kalavakhadamat,Hazine_Khorakivadokhani,Hazine_lavazemkhanegi,Rahn,Hazine_Maskan,Hazine_Noshidani,Hazine_Pushak,Hazine_Tafrihat,Daramad_Yarane,Daramad_Azad,Daramad_Motefaraghe,Daramad_Mozd_Month,Daramad_Mozd_Year
10001000102,0,11,4,1,60,1,2,1,3,1,4,1,4,170,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,,,,,,4,14,24,700000,356000,300000,1800000,705000,7275000,790000,0,10135000,,1190000,,21840000,,176000000,,
10001000105,0,11,4,1,72,2,,,3,2,1,1,4,100,3,1,,,,,,,1,,,1,,,1,1,1,1,1,,,,,1,1,1,1,1,,1,1,1,,,,,,4,14,24,250000,197000,,360000,85000,5424000,490000,0,9028000,,430000,,5460000,,152000000,,
10001000108,0,11,4,1,77,1,2,6,3,1,3,1,4,130,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,1,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,720000,394000,,1600000,625000,10046000,1480000,0,9155000,300000,800000,,16380000,,544000000,,
10001000111,0,11,4,1,58,1,2,6,3,1,4,1,4,137,3,1,1,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,,,,,,,4,14,24,250000,565000,,2150000,1090000,9972000,1130000,0,9566000,,1720000,,21840000,,248000000,,
10001000114,0,11,4,1,54,1,2,4,3,1,4,1,4,100,3,1,1,,,,,,1,1,,1,,,1,1,1,1,1,,,,,1,1,1,1,1,,1,1,1,,,,,,4,14,24,,405000,,2300000,1425000,11853000,1395000,0,9420000,,500000,200000,21840000,,308000000,12000000,144000000
10001000117,0,11,4,2,76,1,2,1,3,2,1,1,4,100,3,1,,,,,,,1,,,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,450000,200000,,250000,120000,5317000,850000,0,9529000,,400000,,5460000,,248000000,,
10001000202,0,2,1,2,64,1,2,1,5,2,2,1,4,115,3,1,,,,,,,1,1,,,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,600000,313000,,300000,320000,5478000,675000,0,5147000,,120000,,10920000,,165000000,10000000,125000000
10001000205,0,2,1,1,67,1,2,1,3,1,3,1,4,120,1,,1,,,,,,1,,,1,,1,,1,1,1,1,1,,,,1,1,1,1,1,,1,1,1,,,,,,4,14,24,100000,316000,,1050000,500000,5440000,745000,0,5272000,,65000,150000,16380000,,249000000,,
10001000208,0,2,1,1,62,1,2,1,3,1,2,1,4,120,3,1,,,,,,,1,,,1,,1,,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,,249000,,170000,147000,6945000,1080000,0,4801000,,460000,,10920000,,188500000,,
10001000211,0,2,1,1,60,1,2,4,3,1,4,1,4,110,3,1,1,,,,,,1,1,,1,1,1,,1,1,1,1,,,,,1,1,1,1,1,,1,1,1,,,,,,4,14,24,770000,,,2070000,327000,6061000,835000,0,5321000,,480000,,21840000,,248000000,,
10001000214,0,2,1,1,35,1,2,4,1,1,4,1,4,110,3,1,1,,,,,,1,1,1,1,,,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,,,,,,4,14,24,,435000,,2060000,900000,10669000,1138000,0,5829000,,830000,520000,21840000,,,22635000,280620000
10001000217,0,2,1,1,57,1,2,1,1,1,3,3,4,150,3,1,,,,,,,1,,,1,1,,1,1,1,1,1,,,,,1,1,1,1,1,,1,1,1,,,,,,4,14,24,120000,425000,,380000,570000,4951000,750000,10000000,13999000,,80000,,16380000,171000000,,10000000,128000000
10001000302,0,5,2,1,70,1,2,4,3,1,2,1,4,120,3,1,1,,,,,,1,1,1,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,,,,,,4,14,24,2080000,550000,340000,1000000,390000,10816000,422000,0,6088000,,350000,20000,,,689000000,,
